Symbol,Interval,RSI_Set,SL_TP,Return%,Trades,WinRate
BTC,15m,40/60,2%/6%,-2.481566004140018,12,25.0
MATIC,15m,45/55,1%/2%,-2.5593862529445803,73,35.61643835616438
ARB,15m,30/70,2%/6%,-2.5972825096973335,8,25.0
ARB,4h,35/65,2%/6%,-2.6319144684158573,30,30.0
ARB,4h,35/65,2%/4%,-2.7132133296751593,30,33.33333333333333
DOGE,15m,40/60,2%/4%,-2.7971039519821264,28,35.714285714285715
OP,4h,40/60,2%/4%,-2.88807577175395,40,37.5
SUI,15m,40/60,2%/4%,-3.033370737975008,31,35.483870967741936
BTC,15m,45/55,2%/4%,-3.0851094482673034,18,33.33333333333333
DOGE,1h,45/55,5%/10%,-3.1257961879596223,41,36.58536585365854
SUI,15m,30/70,5%/10%,-3.170390044126793,6,33.33333333333333
BNB,15m,45/55,1%/2%,-3.366534439276518,40,35.0
SUI,15m,35/65,2%/6%,-3.4441302736132684,15,26.666666666666668
MATIC,1h,30/70,3%/6%,-3.4502973704893405,10,30.0
ARB,4h,45/55,3%/6%,-3.4951600444942867,84,38.095238095238095
SUI,15m,30/70,2%/6%,-3.508416523863036,8,25.0
DOGE,1h,30/70,1%/2%,-3.587853697080527,16,31.25
SUI,15m,45/55,2%/6%,-3.7018620313036195,33,24.242424242424242
OP,15m,30/70,1%/2%,-3.7776393220671367,10,30.0
ETH,15m,30/70,2%/4%,-3.988733933000617,12,33.33333333333333
LINK,1h,30/70,2%/6%,-4.059374209969178,18,22.22222222222222
DOGE,4h,35/65,2%/4%,-4.1119868022870945,29,41.37931034482759
SUI,15m,35/65,2%/4%,-4.182345689384306,15,33.33333333333333
ETH,4h,30/70,1%/2%,-4.255617046051487,23,39.130434782608695
BTC,1h,40/60,1%/2%,-4.333608031017104,59,35.59322033898305
ETH,15m,35/65,3%/6%,-4.363778605243261,12,33.33333333333333
SOL,15m,45/55,1%/2%,-4.430601640076941,51,33.33333333333333
DOGE,15m,35/65,5%/10%,-4.449992239757068,9,33.33333333333333
SUI,15m,45/55,3%/6%,-4.520643003359749,29,31.03448275862069
ETH,15m,30/70,3%/6%,-4.5403529449966635,9,33.33333333333333
OP,15m,45/55,2%/4%,-4.711441655859982,50,36.0
MATIC,15m,45/55,2%/6%,-4.959157611108935,32,25.0
OP,15m,30/70,2%/4%,-5.237826969028208,10,30.0
BNB,4h,40/60,5%/10%,-5.285369875736456,28,35.714285714285715
MATIC,15m,30/70,2%/6%,-5.301296749496237,13,23.076923076923077
BTC,15m,30/70,5%/10%,-5.364840821450718,4,25.0
BTC,4h,45/55,5%/10%,-5.407235041837464,42,35.714285714285715
BTC,15m,30/70,2%/6%,-5.43544021595028,6,16.666666666666664
BNB,15m,40/60,2%/6%,-5.473961422494336,12,25.0
BNB,4h,35/65,2%/4%,-5.618806755547792,27,37.03703703703704
ETH,1h,35/65,5%/10%,-5.626286259648987,22,36.36363636363637
BTC,4h,35/65,1%/2%,-5.644194737350165,41,41.46341463414634
LINK,1h,45/55,1%/2%,-5.6751003912346505,100,36.0
BNB,15m,35/65,2%/6%,-5.776974635903787,9,22.22222222222222
BTC,15m,35/65,5%/10%,-5.89109934300601,4,25.0
BNB,15m,35/65,2%/4%,-5.906245035749282,13,30.76923076923077
BTC,15m,40/60,3%/6%,-5.933887423518593,10,30.0
SOL,4h,45/55,5%/10%,-6.042162265540549,66,37.878787878787875
ARB,1h,40/60,3%/6%,-6.120532057982461,49,34.69387755102041
BNB,1h,35/65,2%/6%,-6.162578145655436,34,26.47058823529412
OP,15m,40/60,5%/10%,-6.207858091465504,12,33.33333333333333
OP,15m,35/65,1%/2%,-6.308815876604081,22,31.818181818181817
ETH,4h,40/60,5%/10%,-6.331356509792988,48,37.5
BNB,15m,35/65,3%/6%,-6.520028127512706,8,25.0
OP,15m,35/65,2%/6%,-6.616265310023596,16,25.0
DOGE,15m,30/70,2%/6%,-6.628666172892451,10,20.0
ARB,1h,45/55,5%/10%,-6.688466457442792,41,34.146341463414636
SUI,15m,30/70,3%/6%,-6.698796175059465,7,28.57142857142857
BNB,15m,40/60,3%/6%,-6.716416945185949,10,30.0
BTC,15m,30/70,3%/6%,-6.726951750556588,5,20.0
ARB,1h,35/65,1%/2%,-6.796222509574204,35,40.0
BTC,1h,40/60,2%/6%,-6.839843634933334,35,25.71428571428571
DOGE,4h,35/65,5%/10%,-6.851535093716792,26,38.46153846153847
LINK,15m,45/55,1%/2%,-6.886277912882906,50,32.0
BTC,15m,45/55,1%/2%,-6.995254521635001,36,30.555555555555557
MATIC,1h,30/70,2%/4%,-7.320053865604052,11,27.27272727272727
ARB,15m,35/65,1%/2%,-7.422971404548242,26,30.76923076923077
DOGE,15m,45/55,2%/4%,-7.44211110448631,33,36.36363636363637
ARB,15m,30/70,1%/2%,-7.491504800580663,12,25.0
SOL,15m,30/70,1%/2%,-7.506938263894347,11,18.181818181818183
DOGE,1h,35/65,1%/2%,-7.547046710617554,31,32.25806451612903
ETH,15m,30/70,1%/2%,-7.586372130879999,14,28.57142857142857
BTC,1h,30/70,1%/2%,-7.714849364671091,23,30.434782608695656
SOL,15m,35/65,1%/2%,-7.774359279170222,20,25.0
BTC,15m,35/65,3%/6%,-7.999429348144724,8,25.0
DOGE,15m,35/65,2%/4%,-8.102724522980987,22,31.818181818181817
OP,4h,45/55,1%/2%,-8.11931850205973,71,45.07042253521127
DOGE,4h,45/55,2%/4%,-8.134502184122482,75,40.0
ETH,1h,40/60,2%/6%,-8.172366756986662,52,26.923076923076923
BTC,1h,35/65,2%/4%,-8.208014404514245,29,31.03448275862069
DOGE,1h,45/55,1%/2%,-8.21737872043318,86,37.2093023255814
BNB,1h,40/60,2%/6%,-8.232288315328127,48,27.083333333333332
ARB,15m,30/70,2%/4%,-8.234865305593212,9,22.22222222222222
OP,4h,35/65,2%/6%,-8.36307446540203,23,30.434782608695656
SOL,15m,45/55,2%/4%,-8.55680923174166,29,37.93103448275862
ARB,4h,40/60,2%/4%,-8.61008844966193,59,35.59322033898305
LINK,1h,30/70,2%/4%,-8.612271671665246,18,27.77777777777778
ARB,15m,30/70,3%/6%,-9.003956063179782,8,25.0
LINK,15m,45/55,2%/6%,-9.044930724206996,19,21.052631578947366
ETH,1h,30/70,5%/10%,-9.137634487682543,15,33.33333333333333
BNB,1h,30/70,1%/2%,-9.197967590303175,29,31.03448275862069
ARB,1h,45/55,2%/6%,-9.531925755987515,84,26.190476190476193
MATIC,15m,45/55,2%/4%,-9.764544904794569,41,31.70731707317073
BNB,1h,40/60,1%/2%,-9.851409838406164,60,35.0
SOL,1h,45/55,1%/2%,-10.027627667423076,95,36.84210526315789
BTC,1h,45/55,3%/6%,-10.105229665939726,28,32.142857142857146
ETH,4h,30/70,2%/4%,-10.134054168893135,21,28.57142857142857
ETH,15m,35/65,2%/6%,-10.246233089018505,14,21.428571428571427
BNB,1h,35/65,3%/6%,-10.28586375843289,30,33.33333333333333
DOGE,15m,30/70,3%/6%,-10.408866463540425,9,22.22222222222222
SUI,15m,45/55,2%/4%,-10.444740175800211,41,34.146341463414636
OP,4h,35/65,1%/2%,-10.709930276161698,23,43.47826086956522
ARB,1h,40/60,2%/4%,-11.023023275238462,55,34.54545454545455
MATIC,1h,30/70,5%/10%,-11.05769116215133,10,30.0
BNB,1h,45/55,1%/2%,-11.114235919114412,76,34.21052631578947
BNB,1h,35/65,1%/2%,-11.336355144059894,38,31.57894736842105
MATIC,4h,45/55,2%/4%,-11.500838215684064,22,31.818181818181817
OP,15m,30/70,5%/10%,-11.687249866521062,5,20.0
MATIC,4h,30/70,2%/4%,-11.819473479566113,3,0.0
MATIC,4h,30/70,2%/6%,-11.819473479566113,3,0.0
OP,15m,35/65,3%/6%,-11.893723362902483,15,26.666666666666668
BNB,15m,40/60,2%/4%,-12.013241879290684,17,29.411764705882355
DOGE,15m,45/55,2%/6%,-12.017989144821296,28,25.0
SUI,4h,30/70,5%/10%,-12.054223610112649,13,30.76923076923077
BNB,1h,30/70,2%/4%,-12.054964224369678,27,29.629629629629626
SUI,15m,35/65,3%/6%,-12.073189675418439,14,28.57142857142857
MATIC,4h,30/70,5%/10%,-12.083911453875725,2,0.0
BNB,1h,40/60,3%/6%,-12.093897048390863,42,33.33333333333333
SUI,15m,45/55,1%/2%,-12.10116096609986,65,32.30769230769231
BNB,1h,45/55,2%/6%,-12.102224166834183,52,26.923076923076923
SUI,4h,30/70,3%/6%,-12.305165574883791,13,30.76923076923077
ETH,1h,40/60,3%/6%,-12.309669850519391,45,33.33333333333333
